name;nodes
Partito Nazionale Monarchico-02;LAURO Achille,PAOLUCCI Raffaele,CONDORELLI Orazio,PAOLUCCI Raffaele,TRIPEPI Domenico,FIORENTINO Gaetano,ROGADEO Francesco,ZAGAMI Leopoldo,ARCUDI Domenico,BUGLIONE Pasquale,DE MARSICO Alfredo,GAZZALE Enrico,GUARIGLIA Raffaele,LUBELLI Arnaldo,MASTROSIMONE Carlo,NACUCCHI Nicola,ROGADEO Francesco,TADDEI Leonetto,TERRAGNI Attilio,ZAGAMI Leopoldo
Comunista-02;SCOCCIMARRO Mauro,NEGARVILLE Celeste Carlo,PASTORE Ottavio,ALBERGANTI Giuseppe,ASARO Filippo,BANFI Antonio,BITOSSI Renato,BOCCASSI Carlo,BOLOGNESI Severino,BORRELLI Antonio,BOSI Ilio,CAPPELLINI Egisto,COLOMBI Arturo Raffaello,CORSINI Giuseppe,DE LUCA Luca,DONINI Ambrogio,FANTUZZI Silvio,FARINA Giovanni,FEDELI Armando,FIORE Umberto,FLECCHIA Vittorio,FORTUNATI Paolo,GAVINA Cesare,GERVASI Galliano,GIUSTARINI Mario,GRAMEGNA Giuseppe,GRIECO Ruggero,IMPERIALE Giuseppe,LEONE Leo,MANCINO Michele,MASSINI Cesare,MENOTTI Clarenzo,MINIO Enrico,MOLINELLI Guido,MONTAGNANI MARELLI Piero,NEGARVILLE Celeste Carlo,NEGRO Antonio,PALERMO Mario,PASTORE Raffaele,PELLEGRINI Giacomo,PESENTI Antonio,PUCCI Alberto Mario,RAVAGNAN Riccardo,RISTORI Pietro,ROFFI Mario,ROVEDA Giovanni,SECCHIA Pietro,SERENI Emilio,SPANO Velio,SPEZZANO Francesco,TERRACINI Umberto,VALENZI Maurizio,VOCCOLI Odoardo,ZUCCA Vincenzo
Democratico Cristiano-02;CESCHI Stanislao,BOSCO Giacinto,DE LUCA Carlo,RICCIO Mario,VARALDO Franco,ZELIOLI LANZINI Ennio,AMIGONI Pietro,ANGELILLI Ugo,ANGELINI Cesare,ANGELINI Nicola,ARTIACO Alfonso,AZARA Antonio,BARACCO Leopoldo,BATTISTA Emilio,BELLORA Pietro,BENEDETTI Luigi,BERTONE Giovanni Battista,BISORI Guido,BO Giorgio,BOGGIANO PICO Antonio,BOSCO Giacinto,BRACCESI Giorgio,BRASCHI Giovanni,BRUNA Settimio,BUIZZA Angelo,BUSSI Antonio,CALAUTI Francesco,CAPORALI Raffaele,CARBONI Enrico,CARELLI Mario,CARISTIA Carmelo,CARON Giuseppe,CARON Luigi Carlo,CEMMI Angelo,CENINI Pietro,CERICA Angelo,CERULLI IRELLI Giuseppe,CIASCA Raffaele,CINGOLANI Mario,CLEMENTE Pasquale,CORBELLINI Guido,CORNAGGIA MEDICI Giovanni Maria,CORTI Carlo,CRISCUOLI Gabriele,CUSENZA Gaspare,DE BACCI Fulvio,DE BOSIO Francesco,DE GIOVINE Alfonso,DE LUCA Angelo,DE LUCA Carlo,DE PIETRO Michele,DI ROCCO Angelo,ELIA Raffaele,FERRARI Francesco,FOCACCIA Basilio,GALLETTO Bortolo,GAVA Silvio,GERINI Alessandro,GIARDINA Camillo,GRAVA Carlo,GUGLIELMONE Teresio,JANNUZZI Onofrio,LAMBERTI Giovanni,LEPORE Antonio,LONGONI Mario,LORENZI Angelo,MAGLIANO Giuseppe,MAGRI' Domenico,MARCHINI CAMIA Francesco,MARTINI Ferdinando,MARTINI Martino,MEDICI Giuseppe,MENGHI Vincenzo,MERLIN Umberto,MESSE Giovanni,MOLINARI Giuseppe,MONALDI Vincenzo,MONNI Antonio,MORO Gerolamo Lino,MOTT Angelo Giacomo,NEGRONI Zaccaria,PAGE Ernesto,PALLASTRELLI Giovanni,PELIZZO Guglielmo,PEZZINI Cristoforo,PEZZULLO Raffaele,PIECHELE Arturo,PIEGARI Giuseppe,PIOLA Giacomo,PONTI Giovanni,RESTAGNO Pier Carlo,RICCIO Mario,RIZZATTI Antonio,ROMANO Antonio,ROMANO Domenico,RUSSO Luigi,SALARI Giuseppe,SALOMONE Rocco,SAMEK LODOVICI Emanuele,SANMARTINO Salvatore,SANTERO Natale,SARTORI Giovanni,SCHIAVONE Domenico,SELVAGGI Francesco,SIBILLE Giuseppe Maria,SPAGNOLLI Giovanni,SPALLINO Lorenzo,SPASARI Tommaso,TARTUFOLI Amor,TERRAGNI Giuseppe,TESSITORI Tiziano,TIRABASSI Angelo Donato,TOME' Zefferino,TOSELLI Antonio,TRABUCCHI Giuseppe,TUPINI Umberto,TURANI Daniele,VACCARO Nicola,VALMARANA Giustino,VANONI Ezio,VARALDO Franco,ZANE Francesco,ZELIOLI LANZINI Ennio,ZOLI Adone,ZOTTA Mario,ZUGARO DE MATTEIS Giuseppe
Movimento Sociale Italiano-02;FRANZA Enea,TRIGONA DELLA FLORESTA Ferdinando,BARBARO Michele,CROLLALANZA Araldo,FERRETTI Lando,MARINA Mario,PRESTISIMONE Pasquale,RAGNO Luigi,TURCHI Francesco
Partito Socialista Italiano-02;LUSSU Emilio,MORANDI Rodolfo,LUSSU Emilio,NEGRI Alceo,PORCELLINI Adolfo,AGOSTINO Rocco Vincenzo,ALBERTI Giuseppe,BARBARESCHI Gaetano,BARDELLINI Giuseppe,BUSONI Jaures,CALDERA Carlo,CERMIGNANI Armando,CERUTTI Arduino,CIANCA Alberto,FABBRI Luigi,GIACOMETTI Guido,GIUA Michele,GRAMMATICO Pietro,GRAMPA Mario,GRAZI Enrico,IORIO Michelangelo,LIBERALI Ciro,LOCATELLI Amilcare,MANCINELLI Carmine,MARIANI Francesco,MARIOTTI Luigi,MARZOLA Giorgio,MERLIN Angelina,NEGRI Alceo,PAPALIA Giuseppe,PASQUALI Camillo,PETTI Raffaele,PICCHIOTTI Giacomo,PORCELLINI Adolfo,RODA Giuseppe,TIBALDI Ettore
Repubblicano-02;
Partito Socialista Democratico Italiano-02;
Misto-02;DE NICOLA Enrico,JANNACCONE Pasquale,MASTROSIMONE Carlo,ANGRISANI Luigi,BATTAGLIA Edoardo,BOSIA Giuseppe,BRAITENBERG Carlo,CADORNA Raffaele,CANONICA Pietro,DE MARSICO Alfredo,DE NICOLA Enrico,DE SANCTIS Gaetano,FIORENTINO Gaetano,JANNACCONE Pasquale,LUBELLI Arnaldo,MASTROSIMONE Carlo,MERZAGORA Cesare,MESSE Giovanni,PARATORE Giuseppe,RAFFEINER Giuseppe,SAVARINO Santi,STURZO Luigi,TADDEI Leonetto,TRIPEPI Domenico,ZAGAMI Leopoldo
Comunista-03;TERRACINI Umberto,SECCHIA Pietro,SPANO Velio,GRAMEGNA Giuseppe,RUGGERI Luigi,VALENZI Maurizio,AIMONI Teodosio,BERTI Giuseppe,BERTOLI Giovanni,BITOSSI Renato,BOCCASSI Carlo,BOSI Ilio,CAPALOZZA Enzo,CARUSO Antonio,CECCHI Pasquale,CERVELLATI Ennio,CHIOLA Vincenzo,DE LEONARDIS Domenico,DE LUCA Luca,DE SIMONE Salvatore,DONINI Ambrogio,FIORE Umberto,FORTUNATI Paolo,GAIANI Luigi,GALLOTTI BALBONI Luisa,GELMINI Oreste,GIANQUINTO Giovanni Battista,GOMBI Bruno,GRAMEGNA Giuseppe,IMPERIALE Giuseppe,LEONE Leo,LOMBARDI Carlo,LUPORINI Cesare,MAMMUCARI Mario,MANCINO Michele,MARABINI Andrea,MARCHISIO Domenico,MENCARAGLIA Luciano,MINIO Enrico,MONTAGNANA Mario,MONTAGNANI MARELLI Piero,PALERMO Mario,PASQUALICCHIO Pasqualino,PASTORE Ottavio,PELLEGRINI Giacomo,PESENTI Antonio,PESSI Secondo,PRIMERANO FRANCESCO,RISTORI Pietro,ROASIO Antonio,RUGGERI Luigi,SACCHETTI Walter,SCAPPINI Remo,SCOCCIMARRO Mauro,SCOTTI Francesco,SECCI Emilio,SERENI Emilio,SIMONUCCI Bruno,SPANO Velio,SPEZZANO Francesco,VALENZI Maurizio,VERGANI Pietro Ludovico,ZANARDI Ernesto,ZUCCA Vincenzo
Democratico Cristiano-03;GAVA Silvio,PICCIONI Attilio,MONNI Antonio,ZELIOLI LANZINI Ennio,CRISCUOLI Gabriele,DE GIOVINE Alfonso,PELIZZO Guglielmo,AMIGONI Pietro,ANGELILLI Ugo,ANGELINI Armando,ANGELINI Cesare,ANGELINI Nicola,AZARA Antonio,BALDINI Mario,BARACCO Leopoldo,BATTISTA Emilio,BELLISARIO Vincenzo,BELLORA Pietro,BENEDETTI Luigi,BERLINGIERI Antonio,BERTOLA Ermenegildo,BERTONE Giovanni Battista,BISORI Guido,BO Giorgio,BOGGIANO PICO Antonio,BOLETTIERI Antonio,BONADIES Antonio,BOSCO Giacinto,BRACCESI Giorgio,BRASCHI Giovanni,BUIZZA Angelo,BUSSI Antonio,CARBONI Enrico,CARELLI Mario,CARISTIA Carmelo,CAROLI Martino,CARON Giuseppe,CEMMI Angelo,CENINI Pietro,CERICA Angelo,CERULLI IRELLI Giuseppe,CESCHI Stanislao,CINGOLANI Mario,CONTI Alfredo,CORBELLINI Guido,CORNAGGIA MEDICI Giovanni Maria,CRESPELLANI Luigi,CRISCUOLI Gabriele,DE BOSIO Francesco,DE GIOVINE Alfonso,DE LUCA Angelo,DE LUCA Carlo,DE UNTERRICHTER Guido,DESANA Paolo,DI GRAZIA Alfio,DI ROCCO Angelo,DONATI Guglielmo,FERRARI Francesco,FLORENA Arcangelo,FOCACCIA Basilio,FORMA Renzo,GALLI Michele,GARLATO Giuseppe,GAVA Silvio,GENCO Giacinto,GERINI Alessandro,GIARDINA Camillo,GIRAUDO Giovanni,GRAVA Carlo,GRECO Ludovico,GUGLIELMONE Teresio,GUIDONI Giulio,INDELLI Vincenzo,JANNUZZI Onofrio,JERVOLINO Angelo Raffaele,LATINI Carlo,LEPORE Antonio,LOMBARI Pietro,LORENZI Angelo,MAGLIANO Giuseppe,MARCHINI CAMIA Francesco,MARTINI Martino,MEDICI Giuseppe,MENGHI Vincenzo,MERLIN Umberto,MERLONI Aristide,MESSERI Girolamo,MICARA Pietro,MILITERNI Giuseppe Mario,MOLINARI Giuseppe,MONALDI Vincenzo,MONETI Alfredo,MONNI Antonio,MORO Gerolamo Lino,MOTT Angelo Giacomo,OLIVA Giorgio,PAGNI Renato,PAJETTA Noe',PECORARO Antonio,PELIZZO Guglielmo,PENNISI DI FLORISTELLA Agostino,PEZZINI Cristoforo,PIASENTI Paride,PICARDI Bonaventura,PICCIONI Attilio,PIGNATELLI Gaspare,PIOLA Giacomo,PONTI Giovanni,PUCCI Raffaele,RESTAGNO Pier Carlo,RICCIO Mario,ROMANO Antonio,ROMANO Domenico,ROSATI Luigi Candido,RUSSO Luigi,SALARI Giuseppe,SALOMONE Rocco,SAMEK LODOVICI Emanuele,SANTERO Natale,SARTORI Giovanni,SCHIAVONE Domenico,SIBILLE Giuseppe Maria,SPAGNOLLI Giovanni,SPALLINO Lorenzo,SPASARI Tommaso,TARTUFOLI Amor,TESSITORI Tiziano,TIRABASSI Angelo Donato,TRABUCCHI Giuseppe,TUPINI Umberto,TURANI Daniele,VACCARO Nicola,VALLAURI Ettore,VALMARANA Giustino,VALSECCHI Pasquale,VARALDO Franco,VECELLIO Pietro,VENUDO Attilio,ZACCARI Raoul,ZAMPIERI Giuseppe,ZANE Francesco,ZANNINI Gino,ZELIOLI LANZINI Ennio,ZOLI Adone,ZOTTA Mario
