name;nodes
Movimento Sociale Italiano e Part. Dem. Italiano-03;FRANZA Enea,ARCUDI Domenico,BARBARO Michele,CROLLALANZA Araldo,D'ALBORA Amedeo,FERRETTI Lando,FIORENTINO Gaetano,MASSARI Oronzo,MASSIMO LANCELLOTTI Francesco,MOLTISANTI Dionisio,NENCIONI Gastone,RAGNO Luigi,TURCHI Francesco
Partito Socialista Italiano-03;ALBERTI Giuseppe,BARBARESCHI Gaetano,NEGRI Alceo,CIANCA Alberto,GIACOMETTI Guido,FENOALTEA Giorgio,MARIOTTI Luigi,DI PRISCO Giuseppe,ALBERTI Giuseppe,ARNAUDI Carlo,BANFI Arialdo,BARBARESCHI Gaetano,BARDELLINI Giuseppe,BONAFINI Ugo,BRUNO Salvatore,BUSONI Jaures,CALEFFI Pietro,CIANCA Alberto,DI PRISCO Giuseppe,FABBRI Luigi,FENOALTEA Giorgio,GATTO Simone,GIACOMETTI Guido,GRAMPA Mario,IORIO Michelangelo,JODICE Generoso,LUSSU Emilio,MACAGGI Domenico,MARAZZITA Giuseppe,MASCIALE Angelo Custode,MILILLO Vincenzo,NEGRI Alceo,NENNI Giuliana,OTTOLENGHI Giacomo,PALUMBO Giuseppina,PAPALIA Giuseppe,PARRI Ferruccio,PESSI Secondo,PICCHIOTTI Giacomo,RODA Giuseppe,RONZA Carlo,SANSONE Luigi Renato,SOLARI Fermo,TIBALDI Ettore,TOLLOY Giusto,ZANONI Emilio
Repubblicano-03;
Partito Socialista Democratico Italiano-03;
Misto-03;JANNACCONE Pasquale,PARATORE Giuseppe,ZANOTTI BIANCO Umberto,BORGARELLI Pietro,GRANATA Giuseppe,BATTAGLIA Edoardo,BERGAMASCO Giorgio,CADORNA Raffaele,CANONICA Pietro,CERABONA Francesco,CHABOD Renato,D'ALBORA Amedeo,DARDANELLI Giuseppe,DE NICOLA Enrico,EINAUDI Luigi,FARAVELLI Giuseppe,FIORENTINO Gaetano,FRANZINI Guido,GRANATA Giuseppe,GRANZOTTO BASSO Luciano,GRECO Ludovico,GRONCHI Giovanni,LAMI STARNUTI Edgardo,MASSIMO LANCELLOTTI Francesco,MERZAGORA Cesare,MOLE' Enrico,PARATORE Giuseppe,PENNAVARIA Filippo,RAGNO Luigi,SAND Luis,SAVIO Edgardo,STURZO Luigi,TINZL Karl,VENDITTI Mario
Comunista-04;TERRACINI Umberto,CONTE Luigi,PERNA Edoardo Romano,SPANO Velio,CIPOLLA Nicolo' Rosario,FARNETI Ariella,GOMEZ D'AYALA Mario,SALATI Remo,SAMARITANI Agide,VACCHETTA Ferdinando,VALENZI Maurizio,ADAMOLI Gelasio,AIMONI Teodosio,AUDISIO Walter,BARONTINI Anelito,BARTESAGHI Ugo,BERA Arnaldo,BERTOLI Giovanni,BITOSSI Renato,BOCCASSI Carlo,BRAMBILLA Giovanni,BUFALINI Paolo,CAPONI Alfio,CARUBIA Olindo,CARUCCI Sebastiano,CARUSO Antonio,CASSESE Antonio,CERRETI Giulio,CIPOLLA Nicolo' Rosario,COLOMBI Arturo Raffaello,COMPAGNONI Angelo,CONTE Luigi,D'ANGELOSANTE Francesco Paolo,DE LUCA Luca,DI PAOLANTONIO Luigi,FABIANI Mario,FABRETTI Eolo,FARNETI Ariella,FERRARI Giacomo,FIORE Umberto,FORTUNATI Paolo,FRANCAVILLA Carlo,GAIANI Luigi,GIANQUINTO Giovanni Battista,GIGLIOTTI Luigi Alberto,GOMEZ D'AYALA Mario,GRAMEGNA Giuseppe,GRANATA Giuseppe,GUANTI Michele,GULLO Luigi,KUNTZE Federico,MACCARRONE Antonino,MAMMUCARI Mario,MARCHISIO Domenico,MARIS Gianfranco,MENCARAGLIA Luciano,MINELLA MOLINARI Angiola,MONTAGNANI MARELLI Piero,MORETTI Astolfo,MORVIDI Leto,ORLANDI Luigi,PAJETTA Giuliano,PALERMO Mario,PELLEGRINO Salvatore,PERNA Edoardo Romano,PESENTI Antonio,PETRONE Ignazio,PIOVANO Giorgio,PIRASTU Luigi,POLANO Luigi,RENDINA Antonio Pompeo,ROASIO Antonio,ROFFI Mario,ROMANO Riccardo,SALATI Remo,SAMARITANI Agide,SANTARELLI Ezio,SCARPINO Armando,SCOCCIMARRO Mauro,SCOTTI Francesco,SECCHIA Pietro,SECCI Emilio,SIMONUCCI Bruno,SPANO Velio,SPEZZANO Francesco,STEFANELLI Francesco,TERRACINI Umberto,TOMASUCCI Evio,TRAINA Filippo,TREBBI Attilio,VACCARO NICOLA,VACCHETTA Ferdinando,VALENZI Maurizio,VERGANI Pietro Ludovico,VIDALI Vittorio,ZANARDI Ernesto
Democratico Cristiano-04;GAVA Silvio,MONNI Antonio,DE LUCA Angelo,PICARDI Bonaventura,BELLISARIO Vincenzo,AGRIMI Alessandro,AJROLDI Tommaso,ALESSI Giuseppe,AMIGONI Pietro,ANGELILLI Ugo,ANGELINI Armando,ANGELINI Cesare,ANGELINI Nicola,ATTAGUILE Gioacchino,AZARA Antonio,BALDINI Mario,BARACCO Leopoldo,BARTOLOMEI Giuseppe,BATTISTA Emilio,BELLISARIO Vincenzo,BERLANDA Paolo,BERLINGIERI Antonio,BERNARDINETTI Marzio,BERNARDO Silvio,BERTOLA Ermenegildo,BERTONE Giovanni Battista,BETTONI Dante,BISORI Guido,BO Giorgio,BOLETTIERI Antonio,BONADIES Antonio,BOSCO Giacinto,BRACCESI Giorgio,BUSSI Antonio,CAGNASSO Osvaldo,CARBONI Enrico,CARELLI Mario,CARON Giuseppe,CASSANO Cataldo,CELASCO Giovanni,CENINI Pietro,CESCHI Stanislao,CINGOLANI Mario,CITTANTE Antonio,CONTI Alfredo,COPPO Dionigi,CORBELLINI Guido,CORNAGGIA MEDICI Giovanni Maria,CRESPELLANI Luigi,CRISCUOLI Gabriele,CUZARI Heros,DE DOMINICIS Pietro,DE LUCA Angelo,DE MICHELE Luigi,DE UNTERRICHTER Guido,DELL'AMORE Giordano,DERIU Francesco,DI GRAZIA Alfio,DI ROCCO Angelo,DOMINEDO' Francesco Maria,DONATI Guglielmo,FANELLI Augusto Cesare,FERRARI Francesco,FERRERI Pietro,FLORENA Arcangelo,FOCACCIA Basilio,FORMA Renzo,GARLATO Giuseppe,GATTO Eugenio,GAVA Silvio,GENCO Giacinto,GIARDINA Camillo,GIRAUDO Giovanni,GIUNTOLI Grazia,GRAVA Carlo,GUARNIERI Primo,INDELLI Vincenzo,JANNUZZI Onofrio,JERVOLINO Angelo Raffaele,LEONE Giovanni,LEPORE Antonio,LIMONI Dino,LO GIUDICE Barbaro,LOMBARDI Giovanni,LOMBARI Pietro,LORENZI Angelo,MAGLIANO Giuseppe,MARTINELLI Mario,MEDICI Giuseppe,MERLIN Umberto,MERLONI Aristide,MESSERI Girolamo,MICARA Pietro,MILITERNI Giuseppe Mario,MOLINARI Giuseppe,MONALDI Vincenzo,MONETI Alfredo,MONNI Antonio,MONTINI Ludovico,MORANDI Giorgio,MORO Gerolamo Lino,MOTT Angelo Giacomo,MURDACA Filippo,MURGIA Amedeo,OLIVA Giorgio,PAFUNDI Donato,PAJETTA Noe',PECORARO Antonio,PELIZZO Guglielmo,PENNACCHIO Mauro,PENNISI DI FLORISTELLA Agostino,PERRINO Vitantonio,PERUGINI Arturo,PEZZINI Cristoforo,PIASENTI Paride,PICARDI Bonaventura,PICCIONI Attilio,PIGNATELLI Gaspare,PUGLIESE Vittorio,RESTAGNO Pier Carlo,ROSATI Luigi Candido,ROSELLI Enrico,RUBINACCI Leopoldo,RUSSO Luigi,SAILIS Enrico,SALARI Giuseppe,SAMEK LODOVICI Emanuele,SANTERO Natale,SCHIAVONE Domenico,SEGNI Antonio,SIBILLE Giuseppe Maria,SPAGNOLLI Giovanni,SPASARI Tommaso,SPATARO Giuseppe,SPIGAROLI Alberto,TESSITORI Tiziano,TIBERI Romolo,TORELLI Carlo,TRABUCCHI Giuseppe,TUPINI Umberto,TURANI Daniele,VALLAURI Ettore,VALMARANA Giustino,VALSECCHI Athos,VALSECCHI Pasquale,VARALDO Franco,VECELLIO Pietro,VENTURI Giovanni,VENUDO Attilio,ZACCARI Raoul,ZAMPIERI Giuseppe,ZANE Francesco,ZANNINI Gino,ZELIOLI LANZINI Ennio,ZENTI Leonello,ZONCA Giovanni
Movimento Sociale Italiano-04;NENCIONI Gastone,BARBARO Michele,GRAY Ezio,MOLTISANTI Dionisio,PICARDO Luigi,BARBARO Michele,BASILE Michele,CREMISINI Antonio,CROLLALANZA Araldo,FERRETTI Lando,FIORENTINO Gaetano,FRANZA Enea,GRAY Ezio,GRIMALDI Luigi,LATANZA Domenico,LESSONA Alessandro,MAGGIO Giuseppe,MOLTISANTI Dionisio,NENCIONI Gastone,PACE Nicola Tommaso,PICARDO Luigi,PINNA Gavino,PONTE Salvatore,TURCHI Francesco
Partito Liberale Italiano-04;BERGAMASCO Giorgio,TRIMARCHI Vincenzo Michele,ALCIDI BOCCACCI REZZA Lea,ARTOM Eugenio,BATTAGLIA Edoardo,BERGAMASCO Giorgio,BONALDI Umberto,BOSSO Giacomo,CATALDO Francesco,CHIARIELLO Alfonso,COLOMBI GUIDOTTI Fernando,COPPI Antonio,D'ANDREA Andrea,D'ANDREA Ugo,D'ERRICO Giovanni,GERMANO' Stefano,GRASSI Luigi,MASSOBRIO Perpetuo Bruno,NICOLETTI Michelangelo,PALUMBO Vincenzo,PASQUATO Michelangelo,PESERICO Enoch,ROTTA Cesare,ROVERE Giuseppe,TRIMARCHI Vincenzo Michele,VERONESI Enzo
Partito Socialista Italiano-04;BARBARESCHI Gaetano,BATTINO VITTORELLI Paolo,MARIOTTI Luigi,TOLLOY Giusto,BERMANI Alessandro,MARIOTTI Luigi,SCHIAVETTI Fernando,TOLLOY Giusto,TORTORA Giuseppe,ALBARELLO Adelio,ALBERTI Giuseppe,AMOLETTI Bruno,ARNAUDI Carlo,ASARO Nicolo',BANFI Arialdo,BARBARESCHI Gaetano,BATTINO VITTORELLI Paolo,BERMANI Alessandro,BERNARDI Giovanni,BONACINA Ercole,BONAFINI Ugo,BRONZI Agostino,CALEFFI Pietro,CANZIANI Guido,DARE' Gastone,DI PRISCO Giuseppe,FENOALTEA Giorgio,FERRONI Luigi,GATTO Simone,GIANCANE Giuseppe Antonio,GIORGI Carlo,JODICE Generoso,LUCCHI Orlando,LUSSU Emilio,MACAGGI Domenico,MARIOTTI Luigi,MARTINEZ Mario,MILILLO Vincenzo,MORABITO Vincenzo,NENNI Giuliana,PAPALIA Giuseppe,PASSONI Pier Luigi,PICCHIOTTI Giacomo,POËT Luigi,PREZIOSI Costantino,RODA Giuseppe,ROMAGNOLI CARETTONI Tullia,SALERNI Achille,SCHIAVETTI Fernando,SELLITTI Aristide,STIRATI Luciano Fabio,TIBALDI Ettore,TOLLOY Giusto,TOMASSINI Angelo,TORTORA Giuseppe
Repubblicano-04;
Partito Socialista Democratico Italiano-04;LAMI STARNUTI Edgardo,VIGLIANESI Italo,GRANZOTTO BASSO Luciano,ZANNIER Attilio,MONGELLI Francesco Paolo,SCHIETROMA Dante,ANGRISANI Luigi,CASSINI Vincenzo,GRANZOTTO BASSO Luciano,LAMI STARNUTI Edgardo,MAGLIANO Terenzio,MAIER Giulio,MONGELLI Francesco Paolo,MORINO Alessandro,ROVELLA GIACINTO,SCHIETROMA Dante,TEDESCHI Franco,VIGLIANESI Italo,ZAGAMI Leopoldo,ZANNIER Attilio
Misto-04;GRONCHI Giovanni,PARATORE Giuseppe,PARRI Ferruccio,ZANOTTI BIANCO Umberto,CHABOD Renato,ROMAGNOLI CARETTONI Tullia,ALBARELLO Adelio,CHABOD Renato,DE LUCA Luca,DI PRISCO Giuseppe,GATTO Simone,GRONCHI Giovanni,LEVI Carlo,LUSSU Emilio,MACRELLI Cino,MARULLO DI CONDOJANNI Sergio,MERZAGORA Cesare,MILILLO Vincenzo,MONTALE Eugenio,PARATORE Giuseppe,PARRI Ferruccio,PASSONI Pier Luigi,PONTE Salvatore,PREZIOSI Costantino,RODA Giuseppe,ROMAGNOLI CARETTONI Tullia,RUINI Meuccio,SAND Luis,SAXL Johann Paul,SCHIAVETTI Fernando,TOMASSINI Angelo,VALLETTA Vittorio,ZANOTTI BIANCO Umberto
Partito Socialista Italiano di Unita' Proletaria-04;SCHIAVETTI Fernando,MILILLO Vincenzo,ALBARELLO Adelio,ALBARELLO Adelio,DI PRISCO Giuseppe,LUSSU Emilio,MARULLO DI CONDOJANNI Sergio,MASCIALE Angelo Custode,MILILLO Vincenzo,PASSONI Pier Luigi,PICCHIOTTI Giacomo,PREZIOSI Costantino,RODA Giuseppe,SCHIAVETTI Fernando,TIBALDI Ettore,TOMASSINI Angelo
PSI-PSDI unificati-04;LAMI STARNUTI Edgardo,ZANNIER Attilio,BERMANI Alessandro,JODICE Generoso,STIRATI Luciano Fabio,MONGELLI Francesco Paolo,TORTORA Giuseppe,ACTIS PERINETTI Mario,ALBERTI Giuseppe,ANGRISANI Luigi,ARNAUDI Carlo,ASARO Nicolo',BANFI Arialdo,BATTINO VITTORELLI Paolo,BERMANI Alessandro,BERNARDI Giovanni,BONACINA Ercole,BONAFINI Ugo,BORRELLI Giuseppe,BRONZI Agostino,CALEFFI Pietro,CANZIANI Guido,CASSINI Vincenzo,DARE' Gastone,FENOALTEA Giorgio,FERRONI Luigi,GARAVELLI Walter,GIANCANE Giuseppe Antonio,GIORGETTI Angelo,GIORGI Carlo,GRANZOTTO BASSO Luciano,JODICE Generoso,LAMI STARNUTI Edgardo,LOPARDI Ubaldo,LUCCHI Orlando,MACAGGI Domenico,MAGLIANO Terenzio,MAIER Giulio,MARCHISIO Domenico,MARIOTTI Luigi,MARTINEZ Mario,MONGELLI Francesco Paolo,MORABITO Vincenzo,MORINO Alessandro,NENNI Giuliana,ROVELLA GIACINTO,SALERNI Achille,SCHIETROMA Dante,SELLITTI Aristide,STIRATI Luciano Fabio,TEDESCHI Franco,TOLLOY Giusto,TORTORA Giuseppe,VIGLIANESI Italo,ZAGAMI Leopoldo,ZANNIER Attilio
Partito Socialista Italiano di Unita' Proletaria-05;VALORI Dario,DI PRISCO Giuseppe,ALBARELLO Adelio,NALDINI Vittorio,CUCCU Emilio,FILIPPA Andrea,LI VIGNI Mario,MASCIALE Angelo Custode,MENCHINELLI Alessandro,NALDINI Vittorio,PELLICANO' Antonio,PREZIOSI Costantino,RAIA Vito,TOMASSINI Angelo,VENTURI Lino
Comunista-05;TERRACINI Umberto,BUFALINI Paolo,PERNA Edoardo Romano,PIRASTU Luigi,RUHL BONAZZOLA Ada Valeria,ABBIATI GRECO CASOTTI Dolores,ABENANTE Angelo,ADAMOLI Gelasio,AIMONI Teodosio,ANTONINI Silvio,ARGIROFFI Emilio Maria Giuseppe,BENEDETTI Tullio,BERA Arnaldo,BERTOLI Giovanni,BERTONE Flavio Luigi,BONATTI Emilio,BORSARI Luigi,BRAMBILLA Giovanni,BUFALINI Paolo,CALAMANDREI Franco,CARUCCI Sebastiano,CATALANO Oreste,CAVALLI Carlo,CERRI Carlo,CHIAROMONTE Gerardo,CINCIARI Maria Lisa,CIPOLLA Nicolo' Rosario,COLOMBI Arturo Raffaello,COMPAGNONI Angelo,CROATTO Ugo,D'ANGELOSANTE Francesco Paolo,DE FALCO Nicola,DEL PACE Franco,DI VITTORIO Balda,FABBRINI Fazio,FABIANI Mario,FABRETTI Eolo,FARNETI Ariella,FERMARIELLO Carlo,FERRARI Giacomo,FORTUNATI Paolo,FUSI Torquato,GIANQUINTO Giovanni Battista,GUANTI Michele,ILLUMINATI Gaetano,LI CAUSI Girolamo,LUGNANO Francesco,LUSOLI Nello,MACCARRONE Antonino,MACCARRONE Pietro,MADERCHI Italo,MAGNO Michele,MAMMUCARI Mario,MANENTI Attilio,MARIS Gianfranco,MINELLA MOLINARI Angiola,MORANINO Francesco,ORLANDI Luigi,PALAZZESCHI Vasco,PAPA Gaspare,PEGORARO Emilio,PERNA Edoardo Romano,PETRONE Ignazio,PIOVANO Giorgio,PIRASTU Luigi,PIVA Ismer,POERIO Pasquale,RENDA Francesco,ROMANO Riccardo,ROSSI Raffaele,RUHL BONAZZOLA Ada Valeria,SALATI Remo,SAMARITANI Agide,SCARPA Sergio,SCOCCIMARRO Mauro,SECCHIA Pietro,SEMA Paolo,SOLIANO Francesco,SOTGIU Girolamo,STEFANELLI Francesco,TEDESCO TATO' Giglia,TERRACINI Umberto,TOMASUCCI Evio,TROPEANO Luigi,VENANZI Mario,VIGNOLO Giuseppe
Democratico Cristiano-05;CARON Giuseppe,GAVA Silvio,SPAGNOLLI Giovanni,BARTOLOMEI Giuseppe,LO GIUDICE Barbaro,DE VITO Salverino,LIMONI Dino,ACCILI Achille,ALESSANDRINI Pio,ANDO' Oscar,ANGELINI Cesare,ARCUDI Domenico,ATTAGUILE Gioacchino,BALDINI Mario,BALLESI Elio,BARGELLINI Pier Francesco,BARRA Vincenzo,BARTOLOMEI Giuseppe,BATTISTA Emilio,BELLISARIO Vincenzo,BELOTTI Giuseppe,BENAGLIA Lucio,BERLANDA Paolo,BERNARDINETTI Marzio,BERTHET Amato,BERTOLA Ermenegildo,BETTIOL Giuseppe Maria,BISANTIS Fausto,BISORI Guido,BO Giorgio,BOANO Giovanni,BOLETTIERI Antonio,BONADIES Antonio,BOSCO Giacinto,BRACCESI Giorgio,BRUNI Danilo,BRUSASCA Giuseppe,BURTULO Luigi,CAGNASSO Osvaldo,CAROLI Martino,CARON Giuseppe,CARRARO Luigi,CASSANO Cataldo,CASSARINO Giovanni,CASSIANI Gennaro,CELASCO Giovanni,CENGARLE Onorio,CERAMI Giuseppe,COLELLA Pietro,COLLEONI Aurelio,COPPO Dionigi,COPPOLA Mattia,CORRIAS Alfredo,CORRIAS Efisio,CUZARI Heros,DAL CANTON Maria Pia,DAL FALCO Luciano,DALVIT Luigi,DE DOMINICIS Pietro,DE LEONI Umberto,DE LUCA Angelo,DE MARZI Fernando,DE VITO Salverino,DE ZAN Fabiano,DEL NERO Alberto,DELLE FAVE Umberto,DERIU Francesco,DI GRAZIA Alfio,DONATI Guglielmo,DOSI Mario,FADA Annibale,FALCUCCI Franca,FANFANI Amintore,FARABEGOLI Furio,FERRARI Francesco,FLORENA Arcangelo,FOLLIERI Mario,FORMA Renzo,GATTO Eugenio,GAVA Silvio,GENCO Giacinto,GIARDINA Camillo,GIRAUDO Giovanni,INDELLI Vincenzo,JANNUZZI Onofrio,LA PENNA Girolamo,LA ROSA Giuseppe,LEONE Giovanni,LIMONI Dino,LISI Emanuele,LO GIUDICE Barbaro,LOMBARDI Giovanni,LOMBARI Pietro,MANNIRONI Salvatore,MARCORA Giovanni,MARTINELLI Mario,MAZZAROLLI Antonio,MAZZOLI Giacomo Samuele,MEDICI Giuseppe,MERLONI Aristide,MONTINI Gustavo,MORANDI Giorgio,MORLINO Tommaso,MURDACA Filippo,MURMURA Antonino,NICCOLI Alessandro,NOE' Luigi,OLIVA Giorgio,ORLANDO Giulio Cesare,PALA Pietro,PECORARO Antonio,PELIZZO Guglielmo,PELLA Giuseppe,PENNACCHIO Mauro,PERRINO Vitantonio,PICARDI Bonaventura,PICCIONI Attilio,PICCOLO Salvatore,POZZAR Vittorio,RICCI Cristoforo,RIPAMONTI Camillo,ROSA Vito,RUSSO Luigi,SALARI Giuseppe,SAMMARTINO Remo,SANTERO Natale,SCARDACCIONE Decio,SCELBA Mario,SCHIAVONE Domenico,SCIPIONI Alfredo,SEGNANA Remo,SEGNI Antonio,SENESE Ignazio Vincenzo,SERRA Ignazio,SIGNORELLO Nicola,SMURRA Francesco,SPAGNOLLI Giovanni,SPASARI Tommaso,SPATARO Giuseppe,SPIGAROLI Alberto,TANGA Alfonso,TESAURO Alfonso,TESSITORI Tiziano,TIBERI Romolo,TOGNI Giuseppe,TORELLI Carlo,TRABUCCHI Giuseppe,TREU Renato,VALSECCHI Athos,VALSECCHI Pasquale,VARALDO Franco,VENTURI Giovanni,VERRASTRO Vito Vincenzo,VERZOTTO Graziano,ZACCARI Raoul,ZANNINI Gino,ZELIOLI LANZINI Ennio,ZENTI Leonello,ZONCA Giovanni,ZUGNO Faustino
Movimento Sociale Italiano-05;NENCIONI Gastone,PICARDO Luigi,CROLLALANZA Araldo,DE MARSANICH Augusto,DINARO Carmelo,FILETTI Cristoforo,FIORENTINO Gaetano,FRANZA Enea,GRIMALDI Luigi,LATANZA Domenico,LAURO Achille,TANUCCI NANNINI Fernando,TURCHI Francesco
Partito Liberale Italiano-05;BERGAMASCO Giorgio,VERONESI Enzo,CHIARIELLO Alfonso,ARENA Francesco,BALBO Giuseppe,BIAGGI Francantonio,BONALDI Umberto,BOSSO Giacomo,CHIARIELLO Alfonso,D'ANDREA Ugo,FINIZZI Mario,GERMANO' Stefano,MASSOBRIO Perpetuo Bruno,PALUMBO Vincenzo,PERRI Francesco,PREMOLI Augusto,ROBBA Arturo,ROTTA Cesare
Partito Socialista Italiano-05;ALBERTINI Francesco,ZANNIER Attilio,ALBERTINI Francesco,FORMICA Rino,ARNONE Luigi,IANNELLI Francesco,VIGNOLA Mario,ALBANESE Domenico,ALBERTINI Francesco,ARNONE Luigi,AVEZZANO COMES Tommaso,BANFI Arialdo,BARDI Francescantonio,BERMANI Alessandro,BLOISE Luigi,BRODOLINI Giacomo,BUZIO Luigi,CALEFFI Pietro,CASTELLACCIO Antonio,CATELLANI Edoardo,CAVEZZALI Paolo,CELIDONIO Michele,CIPELLINI Alberto,CODIGNOLA Tristano,DARE' Gastone,DE MATTEIS Salvatore,DI BENEDETTO Giovanni,DINDO Dino,FENOALTEA Giorgio,FERRI Mario,FERRONI Luigi,FORMICA Rino,FOSSA Francesco,GARAVELLI Walter,GATTI CAPORASO Elena,IANNELLI Francesco,IANNUZZI Raffaele,LUCCHI Orlando,MACAGGI Domenico,MAIER Giulio,MANCINI Gaetano,MENCHINELLI Alessandro,MINNOCCI Giacinto,MORINO Alessandro,NENNI Pietro,PAUSELLI Aldo,PIERACCINI Giovanni,PREZIOSI Costantino,RIGHETTI Giuseppe,ROSSI DORIA Manlio,SCHIETROMA Dante,SEGRETO Domenico,TANSINI Angelo,TEDESCHI Franco,TOLLOY Giusto,TORTORA Giuseppe,VIGLIANESI Italo,VIGNOLA Mario,ZANNIER Attilio,ZUCCALA' Michele
Repubblicano-05;
Sinistra Indipendente-05;PARRI Ferruccio,ROMAGNOLI CARETTONI Tullia,ALBANI Gian Mario,ANDERLINI Luigi Silvestro,ANTONICELLI Franco,BONAZZI Delio,CORRAO Ludovico,GALANTE GARRONE Carlo,GATTO Simone,LEVI Carlo,MARULLO DI CONDOJANNI Sergio,OSSICINI Adriano,PARRI Ferruccio,ROMAGNOLI CARETTONI Tullia
Misto-05;CIFARELLI Michele,VOLGGER Friedrich,BRUGGER Peter,BRUGGER Peter,CIFARELLI Michele,GRONCHI Giovanni,MERZAGORA Cesare,MONTALE Eugenio,PINTO Biagio,RUINI Meuccio,VOLGGER Friedrich
Partito Socialista Democratico Italiano-05;IANNELLI Francesco,SCHIETROMA Dante,DINDO Dino,IANNELLI Francesco,BUZIO Luigi,IANNELLI Francesco,TANSINI Angelo,BUZIO Luigi,DARE' Gastone,DI BENEDETTO Giovanni,DINDO Dino,GARAVELLI Walter,MAIER Giulio,PAUSELLI Aldo,SARAGAT Giuseppe,SCHIETROMA Dante,TANSINI Angelo,TEDESCHI Franco,ZANNIER Attilio
Partito Socialista Italiano di Unita' Proletaria-06;LI VIGNI Mario,MAFFIOLETTI Roberto,ALBARELLO Adelio,CORRETTO Nicola,FILIPPA Andrea,GATTO Vincenzo,LI VIGNI Mario,MAFFIOLETTI Roberto,MARI Antonio,MERZARIO Modesto Gaetano,PINNA Pietro,ROSSI Dante,VALORI Dario
Comunista-06;PERNA Edoardo Romano,TERRACINI Umberto,BUFALINI Paolo,COLAJANNI Napoleone,PERNA Edoardo Romano,VALORI Dario,BRUNI Emidio,COLAJANNI Napoleone,MODICA Enzo,TEDESCO TATO' Giglia,VIGNOLO Giuseppe,ABENANTE Angelo,ADAMOLI Gelasio,ALBARELLO Adelio,ARGIROFFI Emilio Maria Giuseppe,ARTIOLI Lidio,BACICCHI Silvano,BENEDETTI Tullio,BERTONE Flavio Luigi,BIANCHI Aldo,BOLDRINI Cleto,BOLLINI Rodolfo Pietro,BORRACCINO Domenico,BORSARI Luigi,BRUNI Emidio,BUFALINI Paolo,CALAMANDREI Franco,CALIA Michele,CANETTI Nedo,CAVALLI Carlo,CEBRELLI Renato,CHIAROMONTE Gerardo,CHINELLO Ivone,CIPOLLA Nicolo' Rosario,COLAJANNI Napoleone,COLOMBI Arturo Raffaello,CORBA Gustavo,COSSUTTA Armando,D'ANGELOSANTE Francesco Paolo,DE FALCO Nicola,DEL PACE Franco,DI BENEDETTO Salvatore,FABBRINI Fazio,FABIANI Mario,FERMARIELLO Carlo,FERRUCCI Claudio,FILIPPA Andrea,FUSI Torquato,GADALETA Raffaele,GAROLI Giuseppe,GERMANO Pietro,GIOVANNETTI Daverio Clementino,LI VIGNI Mario,LUGNANO Francesco,MACCARRONE Antonino,MADERCHI Italo,MAFFIOLETTI Roberto,MANCINI Olivio,MARANGONI Cesare,MARI Antonio,MARSELLI Carlo,MARTINO Leopoldo Attilio,MERZARIO Modesto Gaetano,MINGOZZI Enzo,MODICA Enzo,PAPA Gaspare,PECCHIOLI Ugo,PELLEGRINO Giuseppe,PELUSO Umile Francesco,PERNA Edoardo Romano,PETRELLA Generoso,PETRONE Ignazio,PINNA Pietro,PIOVANO Giorgio,PIRASTU Ignazio,PISCITELLO Antonino,PIVA Ismer,POERIO Pasquale,ROSSI Raffaele,RUHL BONAZZOLA Ada Valeria,SABADINI Walter,SCARPINO Armando,SECCHIA Pietro,SEMA Paolo,SGHERRI Evaristo,SPECCHIO PASQUALE,TEDESCO TATO' Giglia,TERRACINI Umberto,TROPEANO Luigi,URBANI Giovanni Battista,VALENZA Pietro,VALORI Dario,VENANZI Mario,VERONESI Protogene,VIGNOLO Giuseppe,ZANTI TONDI Carmen Paola,ZAVATTINI Agostino,ZICCARDI Angelo Raffaele
